dt_rcvd,count(*)
2014-10-10,2488
2014-10-11,11324
2014-10-12,1228
2014-10-13,2510
2014-10-14,2013
2014-10-15,5577
2014-10-16,19658
2014-10-17,6899
2014-10-18,9134
2014-10-19,66151
dt_rcvd,count(*)
2014-10-20,146249
2014-10-21,62509
2014-10-22,101598
2014-10-23,51272
2014-10-24,6135
2014-10-25,16001
2014-10-26,3996
2014-10-27,4066
2014-10-28,4830
2014-10-29,10742
2014-10-30,22827
2014-10-31,11954
2014-11-01,7351
2014-11-02,5561
2014-11-03,3707
2014-11-04,2476
2014-11-05,2230
2014-11-06,3305
2014-11-07,311412
2014-11-08,2248867
2014-11-09,761862
